h11,log10_mass_over_Mpl_median_mean,log10_mass_over_Mpl_median_std,log10_f_over_Mpl_median_mean,log10_f_over_Mpl_median_std,log10_coupling_median_mean,log10_coupling_median_std,mass_eV_min_mean,mass_eV_min_std,mass_eV_max_mean,mass_eV_max_std,abs_coupling_min_mean,abs_coupling_min_std,abs_coupling_max_mean,abs_coupling_max_std
166,-2.3836703429991624,1.2608375122299085,-6.947821423059435,1.0900076827083753,-21.466628143785243,4.959618291684316,3.135062698007109e+22,5.7186767123431605e+22,3.351737918939659e+33,9.05834955868576e+33,9.552133247357644e-27,2.0899148775638554e-26,1.5657106094783538e-12,4.532574912081394e-12
167,-1.276871716639166,1.7174514868520605,-7.385255871094474,0.6481866999845385,-21.113663414761998,3.840744835305103,1.6533618047870004e+22,1.862043814426664e+22,7.727452733011594e+32,7.489753424604879e+32,3.904236675803933e-27,1.1784038424783065e-26,1.319640675363988e-13,1.5807462687450733e-13
168,-2.461222029589927,0.8952366043289848,-7.179836407641412,0.490372085386568,-23.10512791063464,5.017189398582855,3.4715140957278898e+22,3.190809010878644e+22,5.4144239342241764e+32,4.228938006753557e+32,2.6165461148161767e-27,7.574804953143459e-27,1.0587438206826733e-13,1.1874459401590334e-13
169,-2.1694729248213993,1.4206525031429746,-7.434825591960852,1.0170047139820968,-20.024149082195073,5.709907760723453,9.674099178406714e+22,1.8194406081099478e+23,5.452273579262075e+33,1.510936690042954e+34,3.3857702723826553e-25,1.013604947031314e-24,2.948974491363975e-13,4.587102108330001e-13
170,-3.1687543920187364,0.5895553232367154,-6.692394091621253,0.8337348585622562,-20.235799187304064,5.991710568872261,1.9609240402049714e+22,2.9024878596591974e+22,4.0644262740375614e+32,3.908207691408205e+32,8.347628100473357e-27,1.5713644329749497e-26,1.3636818790060555e-13,1.925904826600106e-13
171,-3.0309643074947323,0.7555436544509342,-7.032724563925273,0.4728388869992701,-19.67084835205253,5.0527166297142,1.5593282951101008e+22,2.8317390542476105e+22,4.1204061168532145e+32,4.064564727334963e+32,2.331138194852728e-27,6.177572709323858e-27,1.3208394623102322e-13,2.597587140171338e-13
172,-1.9675602058251738,1.1092550261810878,-6.982435472410112,0.7752952391203217,-20.944049432501217,3.2786571352478484,1.3177679730690511e+22,1.468374197880688e+22,3.63755174493566e+32,2.9757360972012106e+32,1.9572473833252963e-25,4.976871461652248e-25,4.453790660691472e-14,3.9736630864709834e-14
173,-1.387266140319713,1.9253003693592154,-7.313392727978645,1.0528961609528,-21.4852565677212,4.427445274377356,5.3676820319844e+22,7.921011052948394e+22,3.043441623403157e+33,5.266343155945161e+33,1.8262176769475837e-26,4.0218030900822004e-26,1.0002410681798952e-12,1.9414860201586906e-12
174,-1.890264023468014,1.277097894315445,-7.413334652455246,0.5710449692254138,-19.928039398699248,4.398312479757385,2.268885983498732e+22,1.6614860161332575e+22,9.101272410912408e+32,9.339286075967934e+32,5.387566443951e-25,1.6985471157746795e-24,3.652445433383731e-13,6.644454866686078e-13
175,-2.51887791883928,0.4878129476388616,-7.197702065277648,0.5671375887803972,-20.379226690122945,3.895262681912331,4.4805908087664846e+22,6.662762674966084e+22,7.572967464704129e+32,6.68198535366773e+32,1.7181272458314036e-25,4.965574046357749e-25,1.1742156317588296e-13,2.2705430959664744e-13
176,-2.4650570236163354,0.6908099767904375,-7.161420058843665,0.5138734517697423,-20.23479736227437,4.77993932189335,1.176653303084775e+22,1.5635945293692663e+22,3.0565681642944134e+32,2.2664601273717257e+32,9.383925350760643e-26,2.852977645948517e-25,9.76511973903983e-14,1.4951565438827957e-13
177,-1.6596214053146618,1.6059397359486696,-7.30882646728399,0.8045098206875992,-18.87955359402197,3.7484433310196286,1.882568196903706e+22,2.3682356625563147e+22,1.0597641951886795e+33,1.4272022952996772e+33,1.341635614365051e-26,2.8556915516546534e-26,1.08088586077131e-13,2.313288198871889e-13
178,-2.5810933041277395,1.2512507121327845,-6.876495355785788,0.6734331967006499,-18.77543917469672,4.097779894111135,5.597563766469375e+22,1.1660333108470027e+23,1.0239602541198074e+33,1.7593420047892462e+33,2.298549570265518e-25,6.4877199086774475e-25,5.217848362535588e-13,1.2729839057026582e-12
179,-2.23894925067259,1.2651019806360013,-7.391738025704264,0.6123986951223126,-20.86683027581215,5.1133133314547425,2.6424964520138594e+22,3.0735584993035657e+22,1.0281280580768448e+33,1.4096149865392362e+33,6.372122586745547e-27,1.2667452925185269e-26,1.0717524489637787e-12,2.4009076386365877e-12
180,-2.5590028869590613,0.8212707840777977,-6.916067100851068,0.48154594806697976,-18.469570501211024,3.857563974395681,1.0389756717950829e+22,6.95356060841215e+21,3.553393118664705e+32,2.6256236510618607e+32,1.1674203692684963e-25,3.180339621568819e-25,8.071306669272484e-14,2.3685377755141104e-13
181,-2.6888481439366765,0.2761566209697598,-6.8635748700686205,0.24716439416311298,-18.715747406437792,4.607794909073891,1.24179786256283e+22,9.426902320367646e+21,3.72311624336017e+32,3.0449882746886262e+32,5.347958849754774e-27,1.023270678432087e-26,1.2276075238585205e-13,2.712451759666575e-13
182,-2.280343305170228,0.9772639016523252,-7.0228376729507875,0.6291589435587298,-19.590918313357502,4.432613613348458,2.294488380814224e+22,2.3707258670185382e+22,8.081210971713654e+32,1.34631014135763e+33,1.8717568596378354e-26,3.2473112315398257e-26,3.8704639096769793e-13,1.004687398397298e-12
183,-1.96172562820832,1.3145861426491903,-7.087142028364657,1.0353399280171096,-20.723113823489353,4.132093691090367,3.4354308289507654e+22,5.403390229529508e+22,7.790501262880702e+32,1.0244227587358636e+33,1.6592987623464346e-25,4.589101356260649e-25,1.3096365193751015e-13,2.504756005867621e-13
184,-2.7757096251047173,0.8071294362504342,-7.013821537650882,0.3081692735546103,-18.919885841228233,4.722243288431361,1.206255554171214e+22,1.6343181700293793e+22,3.0330733137128253e+32,2.0782398454708296e+32,1.6044037626865786e-26,3.534022614536884e-26,5.1044174596651565e-14,1.1241136868550748e-13
185,-2.3679916098100575,0.6415850639608202,-7.2964496694391645,0.5205902799695952,-20.93097135523656,4.456913232054113,1.372536765129655e+22,1.3389972183007265e+22,1.2208923707901194e+33,1.757014683847692e+33,9.360026432598769e-27,2.0489259242312818e-26,2.788078098889052e-13,2.997174800900832e-13
186,-2.2641539429868667,0.8615129740059161,-7.402758782607154,0.807770074452619,-18.783123163350517,3.443423745961093,4.390721011528866e+22,6.0711082160887154e+22,2.3488417984302488e+33,5.237777513990649e+33,4.4354039333406733e-26,8.463209563572223e-26,5.2486047853768896e-14,7.263199685826067e-14
187,-2.3233266624345186,0.9321164444742612,-7.084047244351875,0.8437708239714684,-19.489902049272047,3.8492592320975856,1.9024848495929744e+22,2.1865830404292396e+22,8.566870943573606e+32,1.0747862693938788e+33,6.369153757347039e-27,9.149121385872992e-27,6.516003394660345e-14,8.581335906737519e-14
188,-2.007884917520149,0.9772199472101333,-7.300894006600275,0.5026477297432269,-20.952921679439513,5.418356940855085,2.544492325496397e+22,3.143453640141262e+22,5.9663946726145104e+32,6.1938880102609164e+32,4.424537409620198e-26,9.200243607447587e-26,1.5187543068026294e-13,2.7470473740226343e-13
189,-2.219196947522024,1.131442335643123,-7.1902901495553895,0.6306005957706118,-20.2335778712593,4.553686351284317,1.862860078573232e+22,3.594495403307503e+22,5.30418083178603e+32,7.121063876292442e+32,1.1915313345954611e-26,2.8066238807395804e-26,4.3864193430211697e-13,1.2019947643329088e-12
190,-1.7391462255918537,1.202802752112712,-7.352812765903657,0.6273641730219266,-20.975682617731557,5.13189011939711,1.577134043313948e+22,1.8808167240780957e+22,8.913726211933525e+32,8.160587635395071e+32,2.690689493124629e-25,7.694048092740301e-25,2.959825777463015e-13,4.572548905579821e-13
191,-1.8366944282578674,1.5974242694168985,-7.29361640679942,0.8420566141026798,-20.837277456074432,5.187175321635627,2.5437202401435113e+22,3.742381327094513e+22,1.6612346549320595e+33,2.2719288485352213e+33,5.6418010057635496e-27,1.1166035984951284e-26,3.0684036251319474e-13,3.990544374650953e-13
192,-2.2571115769230707,1.0513869806653906,-7.121335960077067,0.7724898593390002,-20.668673218531303,5.43348030418489,2.643017979530508e+22,3.032504784662618e+22,9.87360971795977e+32,8.510229386193542e+32,3.3243558458977034e-25,7.0068273763284625e-25,4.994678363280332e-13,9.976503187405192e-13
193,-2.132108975873998,1.4280190138798952,-7.337305141874138,1.0235334968268652,-19.10778988968673,4.40528816216732,7.220190391854644e+22,1.2365420037044421e+23,6.108840370557323e+33,1.4360996816386381e+34,2.652123853148073e-27,3.982097740637415e-27,5.5163198770076215e-14,8.181906670558928e-14
194,-2.0843890025500005,1.808418798595833,-7.185826863919955,1.3311514790867498,-21.22947046515763,4.595763858745741,7.107605260523701e+22,1.6545024270352614e+23,3.183685382016497e+33,6.323325324104914e+33,1.9977169649250235e-26,4.744209944674349e-26,4.734609848153058e-13,1.350237907861746e-12
195,-2.5382543890539284,0.8224952885787801,-6.921826355530049,0.6969138650323848,-20.319816318176525,4.377448819098815,2.9581006574878533e+22,6.514599204197424e+22,7.135016512596816e+32,1.0012071529180605e+33,2.3132694528238144e-27,2.7296265690309223e-27,6.139751848796665e-14,8.040562598267862e-14
