h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
9,6,-32.0964136630337,-1.4984308015911754,-18.404440975382798,2.7586312405493844e-07,664.4431391242211,4.828292457536222e-20,1.5708835824192121e-18,6
9,7,-25.91188975559312,19.43004986034378,-19.06833337670398,3.2111854600192,5115584626.639546,2.1218248980199542e-32,3.8405824082631897e-19,6
9,8,-20.800678009982192,1.8237680791414395,-18.501866354878807,991004.3623494082,552644842101993.94,3.483181467630289e-20,1.0154116942599236e-18,6
9,9,-26.567632363925508,3.4338855043800693,-17.863518516088547,0.9790387140201872,3255385788.346163,6.308171319745086e-20,4.6265914128210755e-18,5
10,0,-6.652482571621335,13.35338949346527,-18.67764561440162,8.263891923819445e+18,4.989597377288269e+29,8.332519186336992e-22,6.035693511833833e-19,7
10,1,-26.031656792508137,3.2109943887546706,-18.904046209830874,0.42898884619670014,5808020916.460198,5.32223048420955e-21,7.003008148343476e-19,6
10,2,-7.2969767895633,4.514461269138831,-18.657637970275903,1.10658228321725e+18,5.901582016819808e+28,6.22851335735538e-20,3.244080531830486e-19,6
10,3,-11.298978177640251,-1.9611140897896924,-20.56150830692119,2188804405377833.5,1.7266320423837215e+24,1.4043395240798674e-22,1.6078867309736433e-17,6
10,4,-9.980445655469378,8.973045307065181,-17.486553957219904,1.3339548161305204e+16,5.970726951346759e+25,1.036301715544468e-18,5.998936165238627e-18,6
10,5,-26.155162905246602,-0.615864125688827,-19.106058618346957,1.8331168071521835,3816937028.86422,1.4791440574428744e-20,1.304393998440836e-18,5
10,6,-19.991508047492328,2.873259493411643,-18.43138343424972,829599.7143557072,5702598045364227.0,2.881146955243048e-20,1.6073556807842264e-18,7
10,7,-14.754127544814537,10.811660924965786,-17.803016343647407,124537462570.71075,3.12664394917396e+20,2.5202645188504775e-20,9.883098821158925e-18,7
10,8,-23.269088973254537,10.149105347251469,-19.16663259952654,757.3192791948335,1521944139948.033,8.966236885054186e-28,5.188632442131925e-19,7
10,9,-20.346140180495908,-3.475057229124594,-19.132289062892717,1177037.881521701,494221792289959.94,2.0279963892452284e-21,1.3552852760270855e-18,7
11,0,-8.56244754291987,8.057988674668728,-18.6695189032041,3.3433390565487936e+17,1.569376577252621e+27,1.2189801314048335e-20,7.800970082744976e-19,6
