5,2,0,1.1627083333333351e+02,2.0875000000000046e+01,4,2,2.4171446429446194e-21,5.8857472055701479e-03,5.8857472055701483e+06,5.8425882249158709e-42,-2.2301983949009681e+00,6.7698016050990315e+00,-1.9432345484907934e+01,3.6953409534594127e-20,3.6054198823877390e-44,1.2729891875174687e+01,3.0997286716050362e+19,1.2804666961809102e+02,3.1179364052005165e+20
5,2,1,1.1627083333333351e+02,7.0375000000000071e+01,4,2,1.0580844927286420e-20,2.5764357397942434e-02,2.5764357397942435e+07,1.1195427937528278e-40,-1.5889806850293358e+00,7.4110193149706642e+00,-1.8412046359378504e+01,3.8721630876306375e-19,4.3466118049335227e-40,5.0751037138740951e-01,1.2357877543283423e+18,1.0371624283855188e+02,2.5254905131187382e+20
5,2,2,1.1627083333333351e+02,1.7375000000000007e+01,4,2,4.0549229928178918e-20,9.8737374875115663e-02,9.8737374875115663e+07,1.6442400477683207e-39,-1.0055184235253090e+00,7.9944815764746906e+00,-1.8027873891098697e+01,-9.3783429240844155e-19,1.4956870324595370e-38,3.3156008839244583e-01,8.0734881523560563e+17,8.8833888621447912e+01,2.1631051879322567e+20
5,2,3,1.1627083333333351e+02,1.0499999999999957e+01,4,2,4.6112934346784134e-13,1.1228499513441937e+06,1.1228499513441936e+15,2.1264027140708244e-25,6.0503217245097893e+00,1.5050321724509789e+01,-1.8733003095835798e+01,-1.8492554366517442e-19,3.1597855578006479e-18,2.5941432481497935e-04,6.3167388092447475e+14,2.4982473268993104e+01,6.0832322409998205e+19
5,2,4,1.1627083333333351e+02,9.5000000000000568e+00,4,2,1.0996262395991617e-11,2.6775898934239589e+07,2.6775898934239588e+16,1.2091778668149930e-22,7.4277440601061855e+00,1.6427744060106185e+01,-1.8054284120753628e+01,8.8250236769869030e-19,1.9081587526735285e-15,2.5173166172094057e-04,6.1296659629049025e+14,1.4808898212210295e+01,3.6059667146732069e+19
5,3,0,2.3666666666666639e+01,9.9999999999999893e+00,5,4,4.5459379336779172e-13,1.1069358868505729e+06,1.1069358868505729e+15,2.0665551696851853e-25,6.0441224674971936e+00,1.5044122467497195e+01,-2.9359912893172218e+01,4.3660339338696084e-30,1.2876178646960366e-19,1.2668640292687046e-03,3.0848139112692955e+15,4.2014894325848807e+01,1.0230626768344185e+20
5,3,1,2.3666666666666639e+01,8.9999999999999964e+00,5,4,7.2348540828282656e-12,1.7616869691686828e+07,1.7616869691686828e+16,5.2343113599816828e-23,7.2459287419647218e+00,1.6245928741964722e+01,-2.9609489908524264e+01,-2.4575937363832093e-30,7.7228598368464104e-18,2.6033987979660659e-03,6.3392760730473700e+15,2.8122440160035147e+01,6.8478141789685580e+19
5,3,2,2.3666666666666639e+01,8.9999999999999964e+00,5,4,1.3447328782244026e-11,3.2744245584764201e+07,3.2744245584764200e+16,1.8083065137776860e-22,7.5151349888968015e+00,1.6515134988896801e+01,-2.6408130169370217e+01,3.9072376814794901e-27,9.2232483399957746e-17,1.4002128926643746e-03,3.4095183936377520e+15,2.0025903447423453e+01,4.8763074894476108e+19
5,3,3,2.3666666666666639e+01,6.9999999999999929e+00,5,4,3.9368611456255177e-09,9.5862568895981350e+09,9.5862568895981343e+18,1.5498875679935862e-17,9.9816490629032195e+00,1.8981649062903220e+01,-2.2585581552292403e+01,-2.5966800881928467e-23,4.7270289335170176e-12,1.8107394647541336e-03,4.4091505966763155e+15,1.3759844960366843e+01,3.3505222478493262e+19
5,3,4,2.3666666666666639e+01,5.9999999999999876e+00,5,4,2.4963307600066686e-07,6.0785654006162378e+11,6.0785654006162378e+20,6.2316672633554728e-14,1.1783801093728023e+01,2.0783801093728023e+01,-1.7581090050393534e+01,2.6236744715055513e-18,1.4270654426972731e-07,6.6081544251182713e-04,1.6090856025162990e+15,1.1612071535581567e+01,2.8275394189141115e+19
5,4,0,9.6999999999999801e+01,3.8499999999999950e+01,5,3,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,-3.3923791007638876e+01,-1.1918153986704360e-34,4.5058356478080255e-50,0.0000000000000000e+00,0.0000000000000000e+00,1.1969845198759261e+02,2.9146573058978798e+20
5,4,1,9.6999999999999801e+01,2.1499999999999982e+01,5,3,6.4602451780671592e-25,1.5730697008593533e-06,1.5730697008593534e+03,4.1734767760739983e-49,-5.8032520338751485e+00,3.1967479661248519e+00,-3.3990661366375527e+01,-1.0217358540819678e-34,2.7732254746779657e-51,1.2267509701354514e+01,2.9871386122798244e+19,1.1073714983631709e+02,2.6964495985143212e+20
5,4,2,9.6999999999999801e+01,2.1499999999999975e+01,5,3,2.3609374678127580e-24,5.7488827341240653e-06,5.7488827341240649e+03,5.5740257269221183e-48,-5.2404165500150519e+00,3.7595834499849476e+00,-3.4140442122596561e+01,7.2369884149528475e-35,1.6816782736323294e-49,5.7572226821989103e+00,1.4018837231154346e+19,7.2170628993432729e+01,1.7573548159900870e+20
5,4,3,9.6999999999999801e+01,1.2999999999999968e+01,5,3,1.8408141195808097e-16,4.4823823811792715e+02,4.4823823811792712e+11,3.3885966228480716e-32,2.6515089023892688e+00,1.1651508902389269e+01,-1.7649054778907036e+01,2.2435989138602894e-18,2.6638785755308028e-25,3.5665861957825056e-04,8.6846373867304012e+14,3.0803538757086230e+01,7.5006616873504965e+19
5,4,4,9.6999999999999801e+01,1.2999999999999973e+01,5,3,1.9602903964161310e-16,4.7733071152732788e+02,4.7733071152732788e+11,3.8427384382813121e-32,2.6788193778352585e+00,1.1678819377835259e+01,-1.7621744303460918e+01,-2.3892175518801696e-18,3.4257552092594917e-25,3.3492089946987315e-04,8.1553239020914112e+14,1.8630795705926726e+01,4.5365987543931576e+19
