h11,cy_index,max_f_chol,max_log10_f_over_Mpl
91,0,3.2941938010535346e-06,-5.482250854391438
92,0,6.211535023204415e-07,-6.206801061703064
93,0,7.39668389413559e-06,-5.1309629409798605
94,0,5.2997353094623025e-06,-5.275745820306855
95,0,2.2545038592468626e-05,-4.646949016933954
96,0,5.1831303361054974e-06,-5.285407870161103
97,0,4.585144257441367e-08,-7.338646996040809
98,0,2.424498743225587e-07,-6.6153780366713
99,0,1.1837639984699462e-06,-5.9267348722570485
100,0,1.939003094449443e-06,-5.712421497831431
101,0,1.2076689988820253e-05,-4.918052081987403
102,0,2.844683606765273e-06,-5.545966029963849
103,0,6.140072171502115e-06,-5.211826524054124
104,0,5.292565623486447e-07,-6.2763337483786765
105,0,1.1199135661098053e-06,-5.950815494481684
106,0,2.929765152805333e-07,-6.533167190884269
107,0,3.308111440562363e-07,-6.480419868766984
108,0,1.5158960131415608e-06,-5.819330589249969
109,0,1.0848803745295959e-06,-5.964618147111207
110,0,2.1162542027121352e-07,-6.674432166407933
111,0,1.1998616924904872e-06,-5.920868811994005
112,0,1.4365068622821912e-06,-5.842692295015459
113,0,1.2011387820631193e-06,-5.920406810413852
114,0,2.3368974009110597e-06,-5.631360354444017
115,0,8.22017505248208e-08,-7.085118933856845
116,0,2.7717973967092924e-06,-5.557238517460977
117,0,1.341602697330516e-06,-5.872376077239641
118,0,6.94554458569572e-07,-6.158293696464856
119,0,2.892920514433203e-06,-5.538663498815647
120,0,1.3374830141511044e-06,-5.873711724751435
121,0,1.7590624792641853e-06,-5.754718734779163
122,0,5.831432063619762e-07,-6.234224779554039
123,0,4.776084565524755e-06,-5.320927992176925
124,0,3.162320834497838e-07,-6.499994070651897
125,0,5.446017751453486e-06,-5.263920947398233
126,0,1.264644557094117e-06,-5.898031520799563
127,0,2.586426188128041e-06,-5.587299911048093
128,0,5.1719568447483976e-08,-7.286345107566939
129,0,1.8065976881092339e-07,-6.743138549866934
130,0,5.72994275305991e-07,-6.241849716977528
131,0,6.563916735689021e-07,-6.182836936677469
132,0,3.6689563945624026e-07,-6.435457449790377
133,0,1.9266536453540633e-07,-6.7151963514738675
134,0,4.065758595157521e-07,-6.390858411212835
135,0,4.255817522115667e-06,-5.371017001680396
136,0,9.137319876408032e-08,-7.039181171178059
137,0,7.984176341792977e-07,-6.097769879608727
138,0,1.6038080107970932e-06,-5.7948476216141
139,0,4.538546580031194e-06,-5.34308320294267
140,0,1.0854924752047812e-07,-6.964373182793041
141,0,2.3882251662651106e-06,-5.6219247295290735
142,0,8.030475815959781e-07,-6.09525872145561
143,0,4.3086555851487573e-07,-6.36565822010228
144,0,3.443540289960798e-07,-6.462994831335467
145,0,1.1744420000632658e-06,-5.930168426033626
146,0,8.945783420447641e-07,-6.048381620409178
147,0,1.7512514388258328e-07,-6.756651494890258
148,0,8.157132168630145e-07,-6.088462500835938
149,0,7.345256201373139e-07,-6.13399305148678
150,0,4.620439561550126e-07,-6.33531670624585
151,0,1.841804662734252e-07,-6.734756431899812
152,0,2.134350546638591e-07,-6.670734250343561
153,0,6.483207332309695e-07,-6.188210089481745
154,0,4.4888633718762584e-07,-6.347863613075341
155,0,1.2118134019527969e-06,-5.916564248768057
156,0,4.928222250434158e-08,-7.307309714812651
157,0,5.761860923385277e-06,-5.239437228689289
158,0,2.7439335617911254e-07,-6.56162640830669
159,0,1.55925470651186e-06,-5.807082936384385
160,0,3.803285465842901e-07,-6.419841076221985
161,0,3.370600424115844e-08,-7.472292728905063
162,0,2.756497842486062e-08,-7.559642343107355
163,0,1.2853307634443307e-06,-5.89098509781594
164,0,3.3435940846891454e-07,-6.475786451771262
165,0,1.4296733374924384e-07,-6.844763182066929
166,0,2.931009156272145e-07,-6.532982824853186
167,0,6.641250133436941e-08,-7.1777501623563
168,0,8.114926175381676e-07,-6.090715426764453
169,0,3.8713266412758347e-07,-6.412140183752379
170,0,5.856377097251577e-07,-6.232370966447155
171,0,1.2740271094124678e-07,-6.89482133075814
172,0,5.755812463963294e-07,-6.239893364699421
173,0,6.82417980461648e-07,-6.16594953882705
174,0,4.817047810344905e-07,-6.317219043188176
175,0,9.692440855891964e-07,-6.013566840414962
176,0,3.1394326366385196e-07,-6.503148831239186
177,0,7.794744428368943e-08,-7.108198119752713
178,0,7.009021468512268e-07,-6.154342609777887
179,0,3.915290041361703e-07,-6.407236060247885
180,0,1.2823263860323788e-07,-6.892001421297673
181,0,3.111561326842899e-07,-6.5070216349343735
182,0,4.335744966797774e-07,-6.362936271388918
183,0,2.985467633498411e-06,-5.52498763279546
184,0,9.619770598360372e-07,-6.01683528441272
185,0,2.1621933106612667e-07,-6.665105480595275
186,0,4.650117740470432e-07,-6.3325360506822514
187,0,5.545963497843251e-07,-6.256022993167357
188,0,9.609261942423939e-07,-6.017309967861311
189,0,2.389757028822009e-07,-6.621646252359789
190,0,2.4944266427616833e-07,-6.603029263467538
191,0,1.0156257328830915e-07,-6.9932663039507865
192,0,1.0447750737700064e-07,-6.98097719733745
193,0,1.0160079729568458e-08,-7.993102883983619
194,0,1.6426393687537153e-08,-7.784457772749659
195,0,5.759731934709052e-08,-7.239597728727093
196,0,6.04491248602735e-07,-6.218609982166407
197,0,8.728415777656412e-08,-7.05906457433068
198,0,7.342984742823491e-07,-6.134127374163757
199,0,3.590678842839893e-07,-6.44482343726318
200,0,2.4336523470843523e-07,-6.613741461655074
201,0,3.085609616674951e-07,-6.5106590206087125
202,0,1.6728872617046285e-06,-5.776533325785567
203,0,1.0103086410665967e-06,-5.995545932518553
204,0,5.853154918868837e-08,-7.232609981008065
205,0,1.6028872490785754e-06,-5.795097025883656
206,0,1.151123265411736e-06,-5.938878168445127
207,0,1.2955883812917177e-06,-5.887532955354296
208,0,3.870686886992472e-07,-6.412211958815715
209,0,7.825873556188329e-07,-6.106467173339671
210,0,7.14557746756342e-07,-6.1459626680847395
211,0,2.840292347496499e-07,-6.546636956301505
212,0,1.342631353903037e-07,-6.872043215137036
213,0,4.000210119074319e-07,-6.397917195882577
214,0,1.5625912377260304e-06,-5.80615461533804
215,0,1.5298773815189886e-07,-6.81534337615214
216,0,2.6204842150574954e-07,-6.581618452001866
217,0,4.4316134815112644e-08,-7.353438125122354
218,0,1.6283774381490082e-06,-5.788244923582781
219,0,1.1627102733057302e-07,-6.9345284902416005
220,0,1.7601647146758937e-07,-6.75444668938605
221,0,1.4361349073827835e-06,-5.842804761500447
222,0,4.711926873376043e-07,-6.326801458190331
223,0,2.69518617390696e-07,-6.569411229917748
224,0,5.338559283267832e-07,-6.272575930190049
225,0,1.0731955593165172e-06,-5.969321133026116
226,0,8.470435641718718e-07,-6.072094252959828
227,0,6.093782682197322e-07,-6.215113037741406
228,0,4.3428608749972255e-07,-6.36222408318412
229,0,8.502094898951977e-07,-6.0704740518199465
230,0,2.496422248407415e-06,-5.6026819555906275
231,0,5.6682831672034625e-08,-7.246548462079818
232,0,3.080887062794997e-07,-6.511324221483094
233,0,1.2087561799567563e-08,-7.91766129250418
234,0,9.572592400910822e-07,-6.018970432866197
