h11,cy_index,triag_index,tau,cy_volume,f_GeV,g_eff_GeV_inv,mass
100,8,0,48.416666666737456,3907067.261618184,16720688094128.55,6.947769772031468e-17,3.0987650816835962e-34
100,8,0,17.500000008889856,3907067.261618184,24618693966804.11,4.718832423222721e-17,319997597.0227179
100,8,0,19.643229166743843,3907067.261618184,23806198430459.055,4.8798841884522036e-17,394049.23950147326
100,8,0,59.204861111047535,3907067.261618184,17726174121699.188,6.553669760342899e-17,5.580464987904102e-49
100,8,0,24.91666666664878,3907067.261618184,21950670711667.547,5.292389140811247e-17,0.027279683024485517
100,8,0,16.499999999895522,3907067.261618184,20534445300207.977,5.657396126827745e-17,8877795097.902758
100,8,0,65.16406250009868,3907067.261618184,14155493825853.434,8.206813039314709e-17,5.173291031618742e-57
100,8,0,38.999999999907644,3907067.261618184,20227173907395.9,5.74333774158513e-17,1.8046164961740987e-21
100,8,0,22.062499999989996,3907067.261618184,15570121234423.787,7.461180909183334e-17,301.4065114134469
100,8,0,51.48779296855764,3907067.261618184,18319604464979.31,6.341375520963466e-17,1.825385517880481e-38
100,8,0,3.4999999967747044,3907067.261618184,37052246174791.21,3.135342747101551e-17,2.684516985734345e+27
100,8,0,39.999999999054,3907067.261618184,10825691640463.195,1.073109184763203e-16,1.45709586672789e-22
