h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV
5,4,3,16.99999999999997,3742746326094685.5,1.5563273524344508e-05,10125337.84818954
5,4,4,16.99999999999998,3735358183501547.5,1.5563273524344172e-05,10145364.693313984
5,5,0,72.4999999999992,3727391536626839.0,2.945868197868942e-81,1.924452795292432e-69
5,5,1,72.4999999999992,3178902501174568.5,2.945868197868942e-81,2.2564986057799698e-69
5,6,0,47.49999999999949,5250378666193328.0,3.7898511944065254e-47,1.757642304506516e-35
5,6,1,59.499999999999496,6243008025384611.0,1.607333187661147e-63,6.269183534669209e-52
5,6,2,36.99999999999949,4091268212659955.0,8.027380948470954e-33,4.777656118716896e-21
5,6,4,11.5,2430843238466749.0,496.78777068598407,497637281778554.4
5,7,3,24.500000000000014,3269485776922092.5,9.104965330070245e-16,0.0006781063473410346
5,7,4,54.50000000000003,1923055899134390.0,1.066565867496394e-56,1.3505004657029084e-44
5,8,0,36.49999999999997,9475450018691168.0,3.8615534480953337e-32,9.9234153813952e-21
5,8,1,36.499999999999964,2.5130650499465416e+16,3.8615534480953884e-32,3.741599385305324e-21
5,8,2,15.499999999999984,1.4575864997452152e+16,0.0017324690347599607,289421046.3926433
5,8,3,15.999999999999984,1.212615889566764e+16,0.0003601449289867134,72319100.35386057
5,8,4,15.999999999999984,7761200904507055.0,0.0003601449289867134,112991908.45238736
5,9,0,23.5,8756576421128073.0,2.106952041352769e-14,0.005858943009182419
5,9,1,16.49999999999996,1.0205118633413266e+16,7.486677526263894e-05,17863643.168991994
5,9,2,71.00000000000004,5860036499554027.0,3.2792750350982406e-79,1.3626254223965859e-67
5,9,3,16.500000000000004,3320466316901788.0,7.486677526262883e-05,54902107.22408399
5,9,4,14.500000000000068,5746782822872282.0,0.04009053342917735,16986973739.727205
6,0,0,35.499350337294,7364803529190386.0,8.954158725122206e-31,2.9604831153003505e-19
6,0,1,22.999641684523564,1.0386109462042328e+16,1.0146860842462159e-13,0.023789086993251125
6,0,2,20.999698979527953,6528843232254543.0,5.432581371480884e-11,20.261377351203357
6,0,3,24.99957562896209,7193052367506368.0,1.8952614162018094e-16,6.415859794513474e-05
6,0,4,37.499293042289615,2959491314506303.5,1.6724388708118923e-33,1.376043453976585e-21
6,0,5,15.499735281188151,2859535715615605.5,0.001733910422285405,1476488597.5050766
6,2,1,70.0,2697983663298245.5,7.588469564556479e-78,6.84878994675084e-66
6,2,5,7.500000000000024,3344363160846324.5,142454545.59442532,1.0371984196675728e+20
6,3,0,18.99999999999997,1.3991487291171866e+16,2.906352202462053e-08,5058.052418387582
6,3,1,18.999999999999975,1.905042624796973e+16,2.9063522024620116e-08,3714.8605080420266
6,3,2,21.49999999999997,1.2252148717484336e+16,1.128255236735381e-11,2.2423017911381837
6,3,3,21.49999999999997,9751188455948086.0,1.128255236735381e-11,2.817401708378262
6,3,4,21.49999999999997,1.0853166973246994e+16,1.128255236735381e-11,2.531336252563641
6,3,5,21.49999999999997,9334529996912426.0,1.128255236735381e-11,2.94315996880333
6,5,0,18.999999999999982,1.154081945198218e+16,2.9063522024619494e-08,6132.118817420153
6,5,1,18.999999999999982,1.932153551396971e+16,2.9063522024619494e-08,3662.735608087727
